!encryption-level(ascii_sort_key_1)	per-line-revision	checkout/merge-suggestion(ascii_sort_key_2)	tag-url(ascii_sort_key_3)
-1	1	$PROJECTS/rename-utils	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/rename-utils-azzh49nlwvte0i3nv9q49krjx.git
-1	1	$PROJECTS/resource_control	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/resource_control-5ji8frnqxtgqejeih7dg2fzdz.git
-1	1	$PROJECTS/revbytes	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/revbytes-hkfzshafy7b5p1zthbjvanydm.git
-1	1	~/.local/bin/local/rsync-serve-apt-cache	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/rsync-serve-apt-cache-tmh2d8c9vrx8iefucwsjzgfn1.git
-1	1	$PROJECTS/rundeps	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/rundeps-avvbpq21aki91sj25c7em9acb.git
-1	1	$PROJECTS/sha256-summer	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/sha256-summer-d33nhzzwaivkb7zsjupvlqevf.git
-1	1	/usr/local/etc/shellrc	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/shellrc-raxjyvp9gv2krg9ltyrqyvxuf.git
-1	1	$PROJECTS/snippets/awk/varint	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/snippets_awk_varint-adnqxbnrfclpi7g3y7zn26m1h.git
-1	1	$PROJECTS/snippets/sh_generic	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/snippets_sh_generic-ag0e7shzq1rsmriq8exv27c60.git
-1	1	$PROJECTS/snippets/sh_with_awk	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/snippets_sh_with_awk-bnmuyfmzwhdbz5tpsqt3ugz20.git
-1	1	$PROJECTS/source_level_linker	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/source_level_linker-cj6qkzi92umbg3jwb5slxhwlh.git
-1	1	$PROJECTS/ssl_pki	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/ssl_pki-dajhgna82z9cx6kwy6yalncmt.git
-1	1	$PROJECTS/str_fmt	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/str_fmt-c08vlf6ljs7c36sd8ra4dq0jt.git
-1	1	$PROJECTS/tar_tcp	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/tar_tcp-ixnr07gte2j1trv8hwvctbpip.git
-1	1	$PROJECTS/trivial_filesystem	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/trivial_filesystem-j5332hkcsy3kc5u53vlqnbzlh.git
